
Time: 2024-10-24 08:38:16, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:40:16, Temperature: unavailable°C, Humidity: unavailable%, Pressure: unavailable hPa
Time: 2024-10-24 08:42:16, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:44:16, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:46:16, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:48:07, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:53:07, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 08:57:04, Temperature: unavailable°C, Humidity: unavailable%, Pressure: unavailable hPa
Time: 2024-10-24 18:47:50, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 18:47:51, Temperature: 26.66°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:17:50, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:17:52, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:47:50, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:47:52, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:24:33, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:24:34, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:27:00, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 19:27:02, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 22:26:52, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 22:31:39, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 22:31:40, Temperature: 27.17°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 23:01:39, Temperature: 30.98°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 23:01:40, Temperature: 30.98°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 23:31:39, Temperature: 30.98°C, Humidity: 78.13%, Pressure: 29.7 hPa
Time: 2024-10-24 23:31:40, Temperature: 30.98°C, Humidity: 78.13%, Pressure: 29.7 hPa
